algorithm,block,arm,freq
Epsilon-Greedy,8000,2,0.051333333333333335
Epsilon-Greedy,8000,3,0.12786666666666666
Epsilon-Greedy,8000,4,0.5551333333333334
Epsilon-Greedy,8500,0,0.24466666666666667
Epsilon-Greedy,8500,1,0.08326666666666667
Epsilon-Greedy,8500,2,0.05353333333333333
Epsilon-Greedy,8500,3,0.13353333333333334
Epsilon-Greedy,8500,4,0.48500000000000004
Epsilon-Greedy,9000,0,0.27413333333333334
Epsilon-Greedy,9000,1,0.1116
Epsilon-Greedy,9000,2,0.08826666666666667
Epsilon-Greedy,9000,3,0.12826666666666667
Epsilon-Greedy,9000,4,0.3977333333333333
Epsilon-Greedy,9500,0,0.3669333333333334
Epsilon-Greedy,9500,1,0.17233333333333334
Epsilon-Greedy,9500,2,0.06893333333333333
Epsilon-Greedy,9500,3,0.1274
Epsilon-Greedy,9500,4,0.2644
SW-TS,0,0,0.0754
SW-TS,0,1,0.1192
SW-TS,0,2,0.161
SW-TS,0,3,0.23320000000000002
SW-TS,0,4,0.4112
SW-TS,500,0,0.06793333333333335
SW-TS,500,1,0.09513333333333333
SW-TS,500,2,0.1312
SW-TS,500,3,0.2204
SW-TS,500,4,0.48533333333333334
SW-TS,1000,0,0.0596
SW-TS,1000,1,0.07273333333333333
SW-TS,1000,2,0.10153333333333334
SW-TS,1000,3,0.22046666666666667
SW-TS,1000,4,0.5456666666666667
SW-TS,1500,0,0.06993333333333333
SW-TS,1500,1,0.09293333333333334
SW-TS,1500,2,0.15366666666666667
SW-TS,1500,3,0.22193333333333334
SW-TS,1500,4,0.46153333333333335
SW-TS,2000,0,0.06633333333333333
SW-TS,2000,1,0.0872
SW-TS,2000,2,0.15206666666666668
SW-TS,2000,3,0.18646666666666667
SW-TS,2000,4,0.5079333333333333
SW-TS,2500,0,0.054599999999999996
SW-TS,2500,1,0.09786666666666667
SW-TS,2500,2,0.1256
SW-TS,2500,3,0.206
SW-TS,2500,4,0.5159333333333334
SW-TS,3000,0,0.06013333333333334
SW-TS,3000,1,0.10633333333333334
SW-TS,3000,2,0.14780000000000001
SW-TS,3000,3,0.1906
SW-TS,3000,4,0.49513333333333337
SW-TS,3500,0,0.0566
SW-TS,3500,1,0.09193333333333334
SW-TS,3500,2,0.14153333333333334
